Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Target
0.7650095536483668,1.0,0.0441851600962232,0.10458138643855264,0.09181931698800805,0.060711531350515324
0.5065843130461081,0.3504390127685796,0.5443888327498035,0.5379655541846805,0.4821909399688154,0.44919406367813564
0.5142306089727134,0.36122451540579126,0.39799255742940853,0.6152699147792877,0.8405683633511197,0.5221787208459904
0.46397055900869194,0.5249821675397749,0.25714343793386285,0.5525666416628933,0.3439729636619157,0.23615603199012544
0.7520549008245373,0.361234081450362,0.5366032033907773,0.0,0.6659915077802399,0.15152508966144054
0.5719642433300467,0.2730390948578739,0.5026738277426204,0.05919775559151047,0.2912042353330491,0.0
1.0,0.5330286842837072,0.39936823984327174,0.7455574693056244,0.045226382241479735,0.3113600753718737
0.761140076769389,0.7322206616751636,0.0,0.5346545467632984,0.22621264501786326,0.3003069922993892
0.43844256944113913,0.4700103425363392,0.6899825287531199,0.28367481702909936,0.5845659378225468,0.3490290935071133
0.7846956829380902,0.8710677511809386,0.15579801083674577,0.4429664626227555,0.46037982985751186,0.4458687590953605
0.38426938111015185,0.590501883619106,0.29708006675429466,0.3764943876085927,0.0,0.09044965613223394
0.32113565631587443,0.35054971174225114,0.08667243074449443,0.40167657375679394,0.8002281197230111,0.21781910246295488
0.0,0.38724146547032773,0.4700732594881415,0.46747264625065915,0.58990758691958,0.35248733550478134
0.5823011323360785,0.3043726785407816,0.33699946002126846,0.38082422360515145,0.8662713504934839,0.3827652018294595
0.5627951130697771,0.4590882070980589,0.7394611620121722,0.32344367377413197,0.41477135946888616,0.4692393518052798
0.49189916420853513,0.23556504951007248,0.9475590239898045,0.41761196241689325,0.9888226395218875,0.6326911154059216
0.40945610759676176,0.3689646970479693,0.4070095590053609,0.8704606037790378,0.44211348061858996,0.5761283871753835
0.732889310041495,0.28976827944013483,0.6210047380317729,0.6796622177115987,0.8125734679755795,0.5730449051364553
0.36677087579313783,0.8454204718864871,0.6166035416648339,0.904265666460095,0.4812352305712864,0.8756705637816928
0.3261141944441992,0.6292301673998977,0.8263741642793916,0.5026163496741506,0.8159663735769835,0.7543991349582574
0.16092235864380283,0.9561708952996548,0.5617015689815628,0.25596297403156587,0.42176655586489503,0.39360805313400765
0.5557419336175263,0.008332061619079567,0.7979005715872091,0.544119140369469,0.2685150315434013,0.20511894815793555
0.16689127820915206,0.2980001019924263,0.736087281913128,0.7449894132111031,0.20310475010387316,0.398467247492785
0.6396937290933815,0.42648511803092165,0.5866115952658384,0.9999999999999999,0.3283237020131394,0.6206794996267028
